35	Excalibur		[[File:Excalibur_equipped_female.png]]	[0, 0, 0, 547, 312, 0, 351, 326, 310, 324, 336, 0]	[1, 22, 24, 1, 4]	808	384
74	Khazard helmet		[[File:Khazard_helmet_equipped_female.png]]	[586, 0, 0, 0, 312, 0, 317, 326, 0, 324, 336, 0]	[3, 23, 8, 5, 6]	808	128
75	Khazard armour		[[File:Khazard_armour_equipped_female.png]]	[0, 0, 0, 0, 587, 0, 0, 326, 379, 324, 336, 0]	[0, 26, 2, 2, 3]	808	128
86	Pendant of lucien		[[File:Pendant_of_lucien_equipped_female.png]]	[0, 0, 598, 0, 315, 0, 317, 326, 377, 324, 336, 0]	[7, 25, 20, 4, 1]	808	128
87	Armadyl pendant		[[File:Armadyl_pendant_equipped_female.png]]	[0, 0, 599, 0, 312, 0, 355, 326, 304, 324, 336, 0]	[12, 6, 4, 5, 1]	808	128
88	Boots of lightness		[[File:Boots_of_lightness_equipped_female.png]]	[0, 0, 0, 0, 312, 0, 320, 326, 382, 324, 600, 0]	[0, 11, 8, 5, 0]	808	-1
89	Boots of lightness		[[File:Boots_of_lightness_equipped_female.png]]	[0, 0, 0, 0, 312, 0, 320, 326, 382, 324, 601, 0]	[0, 11, 8, 5, 0]	808	128
278	Cattleprod		[[File:Cattleprod_equipped_female.png]]	[0, 0, 0, 790, 312, 0, 317, 326, 379, 324, 336, 0]	[0, 26, 2, 2, 3]	808	1664
284	Plague jacket		[[File:Plague_jacket_equipped_female.png]]	[0, 0, 0, 0, 796, 0, 0, 326, 382, 0, 336, 0]	[0, 11, 8, 5, 0]	808	128
285	Plague trousers		[[File:Plague_trousers_equipped_female.png]]	[0, 0, 0, 0, 312, 0, 320, 797, 382, 324, 336, 0]	[5, 19, 9, 1, 2]	808	128
295	Glarial's amulet		[[File:Glarial's_amulet_equipped_female.png]]	[0, 0, 807, 0, 315, 0, 351, 326, 376, 324, 336, 0]	[3, 13, 6, 3, 5]	808	128
421	Lathas' amulet		[[File:Lathas'_amulet_equipped_female.png]]	[0, 0, 933, 0, 315, 0, 352, 326, 375, 324, 336, 0]	[14, 22, 6, 1, 2]	808	128
